epoch,lr,train_loss,train_acc,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1,seconds
1,0.001,1.0019396316391862,0.6706201628304352,0.3880485527544351,0.8731999588546469,0.6519076778144136,0.2681651855723994,0.868020304568528,0.4097444089456869,108.9
2,0.001,0.7737501066214019,0.8041009146647904,0.5485290711141997,0.5840777351117846,0.8412623645784267,0.4613233923578751,0.8375634517766497,0.5949519230769231,107.1
3,0.001,0.7111327559043357,0.8272188159614031,0.5896395321079017,0.5889404141413632,0.8339613754121527,0.4486486486486487,0.8426395939086294,0.5855379188712522,107.2
4,0.001,0.6681118983164478,0.8314906020705598,0.601165695253955,0.5459809378901525,0.8937823834196891,0.583732057416268,0.8257191201353637,0.6839523475823406,110.7
5,0.001,0.623855593790962,0.8483767212785205,0.6260998884620151,0.49928349779168174,0.8723504474799811,0.5252837977296182,0.8612521150592216,0.6525641025641026,112.9
6,0.001,0.6005794923884309,0.8533520956880088,0.6387719732607081,0.5086370994573208,0.852802637776731,0.4844890510948905,0.8984771573604061,0.6295198577356254,109.7
7,0.001,0.592217089758042,0.8523972258518444,0.6390561632051125,0.5180266647418933,0.8619877531794631,0.5024061597690087,0.883248730964467,0.6404907975460122,110.4
8,0.001,0.5745356842827567,0.8596843903909941,0.6527363184079602,0.47027403391452866,0.8984926990108337,0.5934579439252337,0.8595600676818951,0.7021423635107118,109.1
9,0.001,0.5604371830006505,0.8586290079404966,0.6512089274643521,0.45483824821995267,0.8787093735280264,0.5387755102040817,0.8934010152284264,0.6721833227243794,110.5
10,0.001,0.5557900817639575,0.8649613026434818,0.6611174170765545,0.4765341360844783,0.9024964672633067,0.6062424969987995,0.8544839255499154,0.7092696629213483,108.1
11,0.001,0.5317611913780691,0.8639561765001508,0.6609893550407013,0.449921235747969,0.8784738577484692,0.5374625374625375,0.9103214890016921,0.6758793969849246,103.6
12,0.001,0.5150930372656733,0.8642074580359835,0.6638467280418014,0.5205431554132878,0.8483278379651437,0.4768153980752406,0.922165820642978,0.6286043829296425,99.0
13,0.001,0.5198094250688216,0.8630515629711529,0.6617008069522036,0.4375631834255226,0.8737635421573245,0.5273088381330685,0.8984771573604061,0.6645807259073843,97.4
14,0.0005,0.4966370663171413,0.8728012865614635,0.6793361206132016,0.4351019322204946,0.8862458784738577,0.5563674321503131,0.9018612521150592,0.6881859264041317,97.0
15,0.0005,0.45796970031269113,0.8834556236807719,0.6996503043647196,0.40139856145008285,0.8886010362694301,0.5610766045548654,0.9170896785109983,0.6962106615285806,97.2
16,0.0005,0.4523420232764394,0.8839079304452708,0.7027027027027027,0.41242336417868064,0.8798869524258125,0.5400593471810089,0.9238578680203046,0.6816479400749064,105.9
17,0.0005,0.4543316539652478,0.8803899889436124,0.6949500128172263,0.40511675195685076,0.8930758360810175,0.5720294426919033,0.9204737732656514,0.7055771725032426,108.5
